N,T (s),b/N,ncomparisons,nswaps,log(N),log(T)
10,1.4484970000000317e-05,0.2,27,15,3.321928094887362,-16.07508377780886
10,1.367512999999974e-05,0.5,36,10,3.321928094887362,-16.15808592665017
10,1.3020240000000172e-05,1.0,32,10,3.321928094887362,-16.22888443272137
10,1.6566970000000082e-05,2.0,39,12,3.321928094887362,-15.881330708069227
10,1.6470700000002126e-05,4.0,45,10,3.321928094887362,-15.889738603946228
10,1.6762899999999944e-05,8.0,45,10,3.321928094887362,-15.864368715990521
50,0.00013960270000000036,0.24,527,82,5.643856189774724,-12.806385535144132
50,0.00019620330000000194,0.5,891,63,5.643856189774724,-12.315363072683429
50,0.0002008237999999949,1.0,936,59,5.643856189774724,-12.281782123670796
50,0.00020571999999998526,2.0,1012,55,5.643856189774724,-12.247030320746545
50,0.00022522200000003068,4.0,1151,50,5.643856189774724,-12.11636462077818
50,0.00038463899999999283,8.0,1208,50,5.643856189774724,-11.344207329159673
100,0.0005944479999999999,0.25,2125,173,6.643856189774724,-10.716161765412439
100,0.000582177999999999,0.5,3218,120,6.643856189774724,-10.746252057248842
100,0.000702588999999989,1.0,3967,116,6.643856189774724,-10.4750313901934
100,0.000795835000000011,2.0,4599,101,6.643856189774724,-10.29524303088713
100,0.0007935810000000174,4.0,4613,99,6.643856189774724,-10.29933489456797
100,0.0008429580000000101,8.0,4928,99,6.643856189774724,-10.212251628217432
500,0.008565039999999725,0.25,50201,928,8.965784284662087,-6.867324300738512
500,0.0122806700000001,0.5,74353,671,8.965784284662087,-6.347466917396488
500,0.01637213000000031,1.0,95390,561,8.965784284662087,-5.932614162371001
500,0.018129020000000082,2.0,110624,514,8.965784284662087,-5.78555525031611
500,0.018851040000000124,4.0,114084,511,8.965784284662087,-5.7292120715087
500,0.020145440000000008,8.0,119614,502,8.965784284662087,-5.633402873795003
1000,0.03416889999999739,0.25,203105,1891,9.965784284662087,-4.871172385966954
1000,0.05063870000000179,0.5,299436,1380,9.965784284662087,-4.303615821493944
1000,0.06575020000000223,1.0,393072,1101,9.965784284662087,-3.9268609069504303
1000,0.07224559999999655,2.0,445912,1031,9.965784284662087,-3.790946464465684
1000,0.07558329999999955,4.0,468012,1011,9.965784284662087,-3.725788681104061
1000,0.07965370000000008,8.0,484274,1003,9.965784284662087,-3.6501148117319584
